id,treatment,microbiome,value,shortform_biocrates,MATCH_NAME 
GF15,AngII,GF,158,lysoPC a C18:0,lysoPC a C18:0
GF16,AngII,GF,56.6,lysoPC a C18:0,lysoPC a C18:0
GF17,AngII,GF,179,lysoPC a C18:0,lysoPC a C18:0
GF19,AngII,GF,164,lysoPC a C18:0,lysoPC a C18:0
GF20,AngII,GF,135,lysoPC a C18:0,lysoPC a C18:0
GF21,AngII,GF,174,lysoPC a C18:0,lysoPC a C18:0
GF22,AngII,GF,177,lysoPC a C18:0,lysoPC a C18:0
sGF1,Sham,GF,159,lysoPC a C18:0,lysoPC a C18:0
sGF2,Sham,GF,151,lysoPC a C18:0,lysoPC a C18:0
sGF3,Sham,GF,200,lysoPC a C18:0,lysoPC a C18:0
sGF4,Sham,GF,173,lysoPC a C18:0,lysoPC a C18:0
sGF5,Sham,GF,159,lysoPC a C18:0,lysoPC a C18:0
sexGF1,Sham,COL,103,lysoPC a C18:0,lysoPC a C18:0
sexGF2,Sham,COL,92,lysoPC a C18:0,lysoPC a C18:0
sexGF3,Sham,COL,103,lysoPC a C18:0,lysoPC a C18:0
sexGF4,Sham,COL,83.6,lysoPC a C18:0,lysoPC a C18:0
sexGF5,Sham,COL,83.2,lysoPC a C18:0,lysoPC a C18:0
exGF06,AngII,COL,167,lysoPC a C18:2,lysoPC a C18:2
exGF07,AngII,COL,151,lysoPC a C18:2,lysoPC a C18:2
exGF09,AngII,COL,167,lysoPC a C18:2,lysoPC a C18:2
exGF10,AngII,COL,145,lysoPC a C18:2,lysoPC a C18:2
exGF11,AngII,COL,154,lysoPC a C18:2,lysoPC a C18:2
exGF12,AngII,COL,133,lysoPC a C18:2,lysoPC a C18:2
exGF13,AngII,COL,147,lysoPC a C18:2,lysoPC a C18:2
exGF14,AngII,COL,178,lysoPC a C18:2,lysoPC a C18:2
exGF16,AngII,COL,155,lysoPC a C18:2,lysoPC a C18:2
exGF17,AngII,COL,134,lysoPC a C18:2,lysoPC a C18:2
exGF18,AngII,COL,133,lysoPC a C18:2,lysoPC a C18:2
exGF19,AngII,COL,138,lysoPC a C18:2,lysoPC a C18:2
GF07,AngII,GF,195,lysoPC a C18:2,lysoPC a C18:2
GF08,AngII,GF,179,lysoPC a C18:2,lysoPC a C18:2
GF09,AngII,GF,72.6,lysoPC a C18:2,lysoPC a C18:2
GF10,AngII,GF,220,lysoPC a C18:2,lysoPC a C18:2
GF15,AngII,GF,164,lysoPC a C18:2,lysoPC a C18:2
GF16,AngII,GF,97.9,lysoPC a C18:2,lysoPC a C18:2
GF17,AngII,GF,121,lysoPC a C18:2,lysoPC a C18:2
GF19,AngII,GF,175,lysoPC a C18:2,lysoPC a C18:2
GF20,AngII,GF,151,lysoPC a C18:2,lysoPC a C18:2
GF21,AngII,GF,177,lysoPC a C18:2,lysoPC a C18:2
GF22,AngII,GF,170,lysoPC a C18:2,lysoPC a C18:2
sGF1,Sham,GF,128,lysoPC a C18:2,lysoPC a C18:2
sGF2,Sham,GF,136,lysoPC a C18:2,lysoPC a C18:2
sGF3,Sham,GF,168,lysoPC a C18:2,lysoPC a C18:2
sGF4,Sham,GF,154,lysoPC a C18:2,lysoPC a C18:2
sGF5,Sham,GF,134,lysoPC a C18:2,lysoPC a C18:2
sexGF1,Sham,COL,179,lysoPC a C18:2,lysoPC a C18:2
sexGF2,Sham,COL,159,lysoPC a C18:2,lysoPC a C18:2
sexGF3,Sham,COL,174,lysoPC a C18:2,lysoPC a C18:2
sexGF4,Sham,COL,163,lysoPC a C18:2,lysoPC a C18:2
sexGF5,Sham,COL,154,lysoPC a C18:2,lysoPC a C18:2
exGF06,AngII,COL,52.3,lysoPC a C20:4,lysoPC a C20:4
exGF07,AngII,COL,38.3,lysoPC a C20:4,lysoPC a C20:4
exGF09,AngII,COL,47.7,lysoPC a C20:4,lysoPC a C20:4
exGF10,AngII,COL,37,lysoPC a C20:4,lysoPC a C20:4
exGF11,AngII,COL,40.9,lysoPC a C20:4,lysoPC a C20:4
exGF12,AngII,COL,34,lysoPC a C20:4,lysoPC a C20:4
exGF13,AngII,COL,47.4,lysoPC a C20:4,lysoPC a C20:4
exGF14,AngII,COL,40.1,lysoPC a C20:4,lysoPC a C20:4
exGF16,AngII,COL,39.2,lysoPC a C20:4,lysoPC a C20:4
exGF17,AngII,COL,32.6,lysoPC a C20:4,lysoPC a C20:4
exGF18,AngII,COL,52.1,lysoPC a C20:4,lysoPC a C20:4
exGF19,AngII,COL,35.9,lysoPC a C20:4,lysoPC a C20:4
GF07,AngII,GF,43,lysoPC a C20:4,lysoPC a C20:4
GF08,AngII,GF,43.2,lysoPC a C20:4,lysoPC a C20:4
GF09,AngII,GF,19.3,lysoPC a C20:4,lysoPC a C20:4
GF10,AngII,GF,46.6,lysoPC a C20:4,lysoPC a C20:4
GF15,AngII,GF,42.4,lysoPC a C20:4,lysoPC a C20:4
GF16,AngII,GF,7.74,lysoPC a C20:4,lysoPC a C20:4
GF17,AngII,GF,32.5,lysoPC a C20:4,lysoPC a C20:4
GF19,AngII,GF,40.9,lysoPC a C20:4,lysoPC a C20:4
GF20,AngII,GF,36.3,lysoPC a C20:4,lysoPC a C20:4
GF21,AngII,GF,47.7,lysoPC a C20:4,lysoPC a C20:4
GF22,AngII,GF,44.4,lysoPC a C20:4,lysoPC a C20:4
sGF1,Sham,GF,26.2,lysoPC a C20:4,lysoPC a C20:4
sGF2,Sham,GF,28.3,lysoPC a C20:4,lysoPC a C20:4
sGF3,Sham,GF,39.3,lysoPC a C20:4,lysoPC a C20:4
sGF4,Sham,GF,35.9,lysoPC a C20:4,lysoPC a C20:4
sGF5,Sham,GF,31.8,lysoPC a C20:4,lysoPC a C20:4
sexGF1,Sham,COL,39.5,lysoPC a C20:4,lysoPC a C20:4
sexGF2,Sham,COL,35,lysoPC a C20:4,lysoPC a C20:4
sexGF3,Sham,COL,44.4,lysoPC a C20:4,lysoPC a C20:4
sexGF4,Sham,COL,39.8,lysoPC a C20:4,lysoPC a C20:4
sexGF5,Sham,COL,40.8,lysoPC a C20:4,lysoPC a C20:4
exGF06,AngII,COL,84.8,Met,methionine
exGF07,AngII,COL,95.5,Met,methionine
exGF09,AngII,COL,80.6,Met,methionine
exGF10,AngII,COL,114,Met,methionine
exGF11,AngII,COL,106,Met,methionine
exGF12,AngII,COL,77.6,Met,methionine
exGF13,AngII,COL,63.5,Met,methionine
exGF14,AngII,COL,106,Met,methionine
exGF16,AngII,COL,58.8,Met,methionine
exGF17,AngII,COL,77,Met,methionine
exGF18,AngII,COL,79.5,Met,methionine
exGF19,AngII,COL,102,Met,methionine
GF07,AngII,GF,66.1,Met,methionine
GF08,AngII,GF,64.9,Met,methionine
GF09,AngII,GF,87,Met,methionine
GF10,AngII,GF,77.6,Met,methionine
GF15,AngII,GF,70.6,Met,methionine
GF16,AngII,GF,86.2,Met,methionine
GF17,AngII,GF,134,Met,methionine
GF19,AngII,GF,64.1,Met,methionine
GF20,AngII,GF,57.6,Met,methionine
GF21,AngII,GF,109,Met,methionine
GF22,AngII,GF,57.3,Met,methionine
sexGF1,Sham,COL,59.1,Met,methionine
sexGF2,Sham,COL,63.3,Met,methionine
sexGF3,Sham,COL,45.9,Met,methionine
sexGF4,Sham,COL,57.1,Met,methionine
sexGF5,Sham,COL,61.8,Met,methionine
sGF1,Sham,GF,50.7,Met,methionine
sGF2,Sham,GF,54.9,Met,methionine
sGF3,Sham,GF,107,Met,methionine
sGF4,Sham,GF,80,Met,methionine
sGF5,Sham,GF,77.3,Met,methionine
exGF06,AngII,COL,109,Orn,ornithine
exGF07,AngII,COL,120,Orn,ornithine
exGF09,AngII,COL,85.5,Orn,ornithine
exGF10,AngII,COL,123,Orn,ornithine
exGF11,AngII,COL,118,Orn,ornithine
exGF12,AngII,COL,71.4,Orn,ornithine
exGF13,AngII,COL,65.9,Orn,ornithine
exGF14,AngII,COL,130,Orn,ornithine
exGF16,AngII,COL,68.3,Orn,ornithine
exGF17,AngII,COL,95.6,Orn,ornithine
exGF18,AngII,COL,113,Orn,ornithine
exGF19,AngII,COL,166,Orn,ornithine
GF07,AngII,GF,84,Orn,ornithine
GF08,AngII,GF,97.2,Orn,ornithine
GF09,AngII,GF,247,Orn,ornithine
GF10,AngII,GF,90.4,Orn,ornithine
GF15,AngII,GF,133,Orn,ornithine
GF16,AngII,GF,172,Orn,ornithine
GF17,AngII,GF,159,Orn,ornithine
GF19,AngII,GF,284,Orn,ornithine
GF20,AngII,GF,121,Orn,ornithine
GF21,AngII,GF,141,Orn,ornithine
GF22,AngII,GF,129,Orn,ornithine
sexGF1,Sham,COL,88.4,Orn,ornithine
sexGF2,Sham,COL,83.9,Orn,ornithine
sexGF3,Sham,COL,54.7,Orn,ornithine
sexGF4,Sham,COL,91,Orn,ornithine
sexGF5,Sham,COL,113,Orn,ornithine
sGF1,Sham,GF,103,Orn,ornithine
sGF2,Sham,GF,102,Orn,ornithine
sGF3,Sham,GF,146,Orn,ornithine
sGF4,Sham,GF,142,Orn,ornithine
sGF5,Sham,GF,122,Orn,ornithine
exGF06,AngII,COL,18.3,PC aa C32:0,PC aa C32:0
exGF07,AngII,COL,13.3,PC aa C32:0,PC aa C32:0
exGF09,AngII,COL,14.3,PC aa C32:0,PC aa C32:0
exGF10,AngII,COL,14.5,PC aa C32:0,PC aa C32:0
exGF11,AngII,COL,15,PC aa C32:0,PC aa C32:0
exGF12,AngII,COL,10,PC aa C32:0,PC aa C32:0
exGF13,AngII,COL,12.8,PC aa C32:0,PC aa C32:0
exGF14,AngII,COL,11.7,PC aa C32:0,PC aa C32:0
exGF16,AngII,COL,10.9,PC aa C32:0,PC aa C32:0
exGF17,AngII,COL,12.5,PC aa C32:0,PC aa C32:0
exGF18,AngII,COL,12.5,PC aa C32:0,PC aa C32:0
exGF19,AngII,COL,11.5,PC aa C32:0,PC aa C32:0
GF07,AngII,GF,17.8,PC aa C32:0,PC aa C32:0
GF08,AngII,GF,16.7,PC aa C32:0,PC aa C32:0
GF09,AngII,GF,7.27,PC aa C32:0,PC aa C32:0
GF10,AngII,GF,16,PC aa C32:0,PC aa C32:0
GF15,AngII,GF,11.2,PC aa C32:0,PC aa C32:0
GF16,AngII,GF,9.48,PC aa C32:0,PC aa C32:0
GF17,AngII,GF,16.2,PC aa C32:0,PC aa C32:0
GF19,AngII,GF,11.7,PC aa C32:0,PC aa C32:0
GF20,AngII,GF,12.6,PC aa C32:0,PC aa C32:0
GF21,AngII,GF,15.2,PC aa C32:0,PC aa C32:0
GF22,AngII,GF,17.1,PC aa C32:0,PC aa C32:0
sGF1,Sham,GF,9.76,PC aa C32:0,PC aa C32:0
sGF2,Sham,GF,9.43,PC aa C32:0,PC aa C32:0
sGF3,Sham,GF,11.8,PC aa C32:0,PC aa C32:0
sGF4,Sham,GF,9.72,PC aa C32:0,PC aa C32:0
sGF5,Sham,GF,10.4,PC aa C32:0,PC aa C32:0
sexGF1,Sham,COL,9.67,PC aa C32:0,PC aa C32:0
sexGF2,Sham,COL,8.9,PC aa C32:0,PC aa C32:0
sexGF3,Sham,COL,10.2,PC aa C32:0,PC aa C32:0
sexGF4,Sham,COL,9.6,PC aa C32:0,PC aa C32:0
sexGF5,Sham,COL,10.6,PC aa C32:0,PC aa C32:0
exGF06,AngII,COL,8.71,PC aa C32:1,PC aa C32:1
exGF07,AngII,COL,5.33,PC aa C32:1,PC aa C32:1
exGF09,AngII,COL,5.74,PC aa C32:1,PC aa C32:1
exGF10,AngII,COL,6.39,PC aa C32:1,PC aa C32:1
exGF11,AngII,COL,6.36,PC aa C32:1,PC aa C32:1
exGF12,AngII,COL,3.75,PC aa C32:1,PC aa C32:1
exGF13,AngII,COL,5.26,PC aa C32:1,PC aa C32:1
exGF14,AngII,COL,4.09,PC aa C32:1,PC aa C32:1
exGF16,AngII,COL,2.54,PC aa C32:1,PC aa C32:1
exGF17,AngII,COL,3.46,PC aa C32:1,PC aa C32:1
exGF18,AngII,COL,4.14,PC aa C32:1,PC aa C32:1
exGF19,AngII,COL,6.67,PC aa C32:1,PC aa C32:1
GF07,AngII,GF,6.08,PC aa C32:1,PC aa C32:1
GF08,AngII,GF,5.68,PC aa C32:1,PC aa C32:1
GF09,AngII,GF,2.49,PC aa C32:1,PC aa C32:1
GF10,AngII,GF,6.77,PC aa C32:1,PC aa C32:1
GF15,AngII,GF,3.07,PC aa C32:1,PC aa C32:1
GF16,AngII,GF,4.21,PC aa C32:1,PC aa C32:1
GF17,AngII,GF,3.01,PC aa C32:1,PC aa C32:1
GF19,AngII,GF,4.6,PC aa C32:1,PC aa C32:1
GF20,AngII,GF,4.14,PC aa C32:1,PC aa C32:1
GF21,AngII,GF,5.64,PC aa C32:1,PC aa C32:1
GF22,AngII,GF,4.82,PC aa C32:1,PC aa C32:1
sGF1,Sham,GF,1.44,PC aa C32:1,PC aa C32:1
sGF2,Sham,GF,1.57,PC aa C32:1,PC aa C32:1
sGF3,Sham,GF,2,PC aa C32:1,PC aa C32:1
sGF4,Sham,GF,1.67,PC aa C32:1,PC aa C32:1
sGF5,Sham,GF,1.76,PC aa C32:1,PC aa C32:1
sexGF1,Sham,COL,4.82,PC aa C32:1,PC aa C32:1
sexGF2,Sham,COL,3.55,PC aa C32:1,PC aa C32:1
sexGF3,Sham,COL,4.71,PC aa C32:1,PC aa C32:1
sexGF4,Sham,COL,5.13,PC aa C32:1,PC aa C32:1
sexGF5,Sham,COL,4.77,PC aa C32:1,PC aa C32:1
exGF06,AngII,COL,1.97,PC aa C32:2,NA
exGF07,AngII,COL,1.24,PC aa C32:2,NA
exGF09,AngII,COL,1.41,PC aa C32:2,NA
exGF10,AngII,COL,1.25,PC aa C32:2,NA
exGF11,AngII,COL,1.18,PC aa C32:2,NA
exGF12,AngII,COL,1.14,PC aa C32:2,NA
exGF13,AngII,COL,1.22,PC aa C32:2,NA
exGF14,AngII,COL,0.853,PC aa C32:2,NA
exGF16,AngII,COL,0.845,PC aa C32:2,NA
exGF17,AngII,COL,0.88,PC aa C32:2,NA
exGF18,AngII,COL,1.56,PC aa C32:2,NA
exGF19,AngII,COL,1.42,PC aa C32:2,NA
GF07,AngII,GF,1.7,PC aa C32:2,NA
GF08,AngII,GF,1.72,PC aa C32:2,NA
GF09,AngII,GF,0.742,PC aa C32:2,NA
GF10,AngII,GF,2.33,PC aa C32:2,NA
GF15,AngII,GF,0.876,PC aa C32:2,NA
GF16,AngII,GF,1.12,PC aa C32:2,NA
GF17,AngII,GF,1.1,PC aa C32:2,NA
GF19,AngII,GF,1.32,PC aa C32:2,NA
GF20,AngII,GF,1.46,PC aa C32:2,NA
GF21,AngII,GF,2,PC aa C32:2,NA
GF22,AngII,GF,1.82,PC aa C32:2,NA
sGF1,Sham,GF,0.734,PC aa C32:2,NA
sGF2,Sham,GF,0.813,PC aa C32:2,NA
sGF3,Sham,GF,1.13,PC aa C32:2,NA
sGF4,Sham,GF,0.895,PC aa C32:2,NA
sGF5,Sham,GF,0.791,PC aa C32:2,NA
sexGF1,Sham,COL,1.34,PC aa C32:2,NA
sexGF2,Sham,COL,1.22,PC aa C32:2,NA
sexGF3,Sham,COL,1.54,PC aa C32:2,NA
sexGF4,Sham,COL,1.4,PC aa C32:2,NA
sexGF5,Sham,COL,1.21,PC aa C32:2,NA
exGF06,AngII,COL,238,PC aa C34:1,PC aa C34:1
exGF07,AngII,COL,154,PC aa C34:1,PC aa C34:1
exGF09,AngII,COL,163,PC aa C34:1,PC aa C34:1
exGF10,AngII,COL,187,PC aa C34:1,PC aa C34:1
exGF11,AngII,COL,190,PC aa C34:1,PC aa C34:1
exGF12,AngII,COL,102,PC aa C34:1,PC aa C34:1
exGF13,AngII,COL,132,PC aa C34:1,PC aa C34:1
exGF14,AngII,COL,150,PC aa C34:1,PC aa C34:1
exGF16,AngII,COL,100,PC aa C34:1,PC aa C34:1
exGF17,AngII,COL,141,PC aa C34:1,PC aa C34:1
exGF18,AngII,COL,109,PC aa C34:1,PC aa C34:1
exGF19,AngII,COL,156,PC aa C34:1,PC aa C34:1
GF07,AngII,GF,184,PC aa C34:1,PC aa C34:1
GF08,AngII,GF,157,PC aa C34:1,PC aa C34:1
GF09,AngII,GF,36.1,PC aa C34:1,PC aa C34:1
GF10,AngII,GF,154,PC aa C34:1,PC aa C34:1
GF15,AngII,GF,109,PC aa C34:1,PC aa C34:1
GF16,AngII,GF,70.4,PC aa C34:1,PC aa C34:1
GF17,AngII,GF,111,PC aa C34:1,PC aa C34:1
GF19,AngII,GF,129,PC aa C34:1,PC aa C34:1
GF20,AngII,GF,122,PC aa C34:1,PC aa C34:1
GF21,AngII,GF,162,PC aa C34:1,PC aa C34:1
GF22,AngII,GF,143,PC aa C34:1,PC aa C34:1
sGF1,Sham,GF,48.8,PC aa C34:1,PC aa C34:1
sGF2,Sham,GF,55.5,PC aa C34:1,PC aa C34:1
sGF3,Sham,GF,76.2,PC aa C34:1,PC aa C34:1
sGF4,Sham,GF,66.6,PC aa C34:1,PC aa C34:1
sGF5,Sham,GF,62.1,PC aa C34:1,PC aa C34:1
sexGF1,Sham,COL,145,PC aa C34:1,PC aa C34:1
sexGF2,Sham,COL,116,PC aa C34:1,PC aa C34:1
sexGF3,Sham,COL,133,PC aa C34:1,PC aa C34:1
sexGF4,Sham,COL,144,PC aa C34:1,PC aa C34:1
sexGF5,Sham,COL,120,PC aa C34:1,PC aa C34:1
exGF06,AngII,COL,440,PC aa C34:2,PC aa C34:2
exGF07,AngII,COL,344,PC aa C34:2,PC aa C34:2
exGF09,AngII,COL,328,PC aa C34:2,PC aa C34:2
exGF10,AngII,COL,368,PC aa C34:2,PC aa C34:2
exGF11,AngII,COL,341,PC aa C34:2,PC aa C34:2
exGF12,AngII,COL,293,PC aa C34:2,PC aa C34:2
exGF13,AngII,COL,314,PC aa C34:2,PC aa C34:2
exGF14,AngII,COL,316,PC aa C34:2,PC aa C34:2
exGF16,AngII,COL,283,PC aa C34:2,PC aa C34:2
exGF17,AngII,COL,305,PC aa C34:2,PC aa C34:2
exGF18,AngII,COL,307,PC aa C34:2,PC aa C34:2
exGF19,AngII,COL,294,PC aa C34:2,PC aa C34:2
GF07,AngII,GF,418,PC aa C34:2,PC aa C34:2
GF08,AngII,GF,376,PC aa C34:2,PC aa C34:2
GF09,AngII,GF,267,PC aa C34:2,PC aa C34:2
GF10,AngII,GF,197,PC aa C34:2,PC aa C34:2
GF15,AngII,GF,286,PC aa C34:2,PC aa C34:2
GF16,AngII,GF,262,PC aa C34:2,PC aa C34:2
GF17,AngII,GF,365,PC aa C34:2,PC aa C34:2
GF19,AngII,GF,341,PC aa C34:2,PC aa C34:2
GF20,AngII,GF,333,PC aa C34:2,PC aa C34:2
GF21,AngII,GF,367,PC aa C34:2,PC aa C34:2
GF22,AngII,GF,325,PC aa C34:2,PC aa C34:2
sGF1,Sham,GF,226,PC aa C34:2,PC aa C34:2
sGF2,Sham,GF,237,PC aa C34:2,PC aa C34:2
sGF3,Sham,GF,291,PC aa C34:2,PC aa C34:2
sGF4,Sham,GF,230,PC aa C34:2,PC aa C34:2
sGF5,Sham,GF,279,PC aa C34:2,PC aa C34:2
sexGF1,Sham,COL,330,PC aa C34:2,PC aa C34:2
sexGF2,Sham,COL,305,PC aa C34:2,PC aa C34:2
sexGF3,Sham,COL,314,PC aa C34:2,PC aa C34:2
sexGF4,Sham,COL,313,PC aa C34:2,PC aa C34:2
sexGF5,Sham,COL,301,PC aa C34:2,PC aa C34:2
exGF06,AngII,COL,59,PC aa C36:1,PC aa C36:1
exGF07,AngII,COL,35.8,PC aa C36:1,PC aa C36:1
exGF09,AngII,COL,36.8,PC aa C36:1,PC aa C36:1
exGF10,AngII,COL,37.9,PC aa C36:1,PC aa C36:1
exGF11,AngII,COL,36.8,PC aa C36:1,PC aa C36:1
exGF12,AngII,COL,18.3,PC aa C36:1,PC aa C36:1
exGF13,AngII,COL,24.3,PC aa C36:1,PC aa C36:1
exGF14,AngII,COL,28.8,PC aa C36:1,PC aa C36:1
exGF16,AngII,COL,23.3,PC aa C36:1,PC aa C36:1
exGF17,AngII,COL,26.4,PC aa C36:1,PC aa C36:1
exGF18,AngII,COL,20,PC aa C36:1,PC aa C36:1
exGF19,AngII,COL,31,PC aa C36:1,PC aa C36:1
GF07,AngII,GF,40.1,PC aa C36:1,PC aa C36:1
GF08,AngII,GF,35.9,PC aa C36:1,PC aa C36:1
GF09,AngII,GF,13.9,PC aa C36:1,PC aa C36:1
GF10,AngII,GF,63.6,PC aa C36:1,PC aa C36:1
GF15,AngII,GF,24.3,PC aa C36:1,PC aa C36:1
GF16,AngII,GF,14,PC aa C36:1,PC aa C36:1
GF17,AngII,GF,26.8,PC aa C36:1,PC aa C36:1
GF19,AngII,GF,31,PC aa C36:1,PC aa C36:1
GF20,AngII,GF,24.9,PC aa C36:1,PC aa C36:1
GF21,AngII,GF,42.8,PC aa C36:1,PC aa C36:1
GF22,AngII,GF,36.8,PC aa C36:1,PC aa C36:1
sGF1,Sham,GF,12.7,PC aa C36:1,PC aa C36:1
sGF2,Sham,GF,13.1,PC aa C36:1,PC aa C36:1
sGF3,Sham,GF,16.8,PC aa C36:1,PC aa C36:1
sGF4,Sham,GF,13.7,PC aa C36:1,PC aa C36:1
sGF5,Sham,GF,13.6,PC aa C36:1,PC aa C36:1
sexGF1,Sham,COL,21.8,PC aa C36:1,PC aa C36:1
sexGF2,Sham,COL,17.8,PC aa C36:1,PC aa C36:1
sexGF3,Sham,COL,20,PC aa C36:1,PC aa C36:1
sexGF4,Sham,COL,21.2,PC aa C36:1,PC aa C36:1
sexGF5,Sham,COL,16.5,PC aa C36:1,PC aa C36:1
exGF06,AngII,COL,361,PC aa C36:2,PC aa C36:2
exGF07,AngII,COL,277,PC aa C36:2,PC aa C36:2
exGF09,AngII,COL,262,PC aa C36:2,PC aa C36:2
exGF10,AngII,COL,276,PC aa C36:2,PC aa C36:2
exGF11,AngII,COL,245,PC aa C36:2,PC aa C36:2
exGF12,AngII,COL,189,PC aa C36:2,PC aa C36:2
exGF13,AngII,COL,216,PC aa C36:2,PC aa C36:2
exGF14,AngII,COL,215,PC aa C36:2,PC aa C36:2
exGF16,AngII,COL,207,PC aa C36:2,PC aa C36:2
exGF17,AngII,COL,205,PC aa C36:2,PC aa C36:2
exGF18,AngII,COL,196,PC aa C36:2,PC aa C36:2
exGF19,AngII,COL,215,PC aa C36:2,PC aa C36:2
GF07,AngII,GF,320,PC aa C36:2,PC aa C36:2
GF08,AngII,GF,297,PC aa C36:2,PC aa C36:2
GF09,AngII,GF,238,PC aa C36:2,PC aa C36:2
GF10,AngII,GF,185,PC aa C36:2,PC aa C36:2
GF15,AngII,GF,223,PC aa C36:2,PC aa C36:2
GF16,AngII,GF,174,PC aa C36:2,PC aa C36:2
GF17,AngII,GF,287,PC aa C36:2,PC aa C36:2
GF19,AngII,GF,288,PC aa C36:2,PC aa C36:2
GF20,AngII,GF,249,PC aa C36:2,PC aa C36:2
GF21,AngII,GF,306,PC aa C36:2,PC aa C36:2
GF22,AngII,GF,267,PC aa C36:2,PC aa C36:2
sGF1,Sham,GF,160,PC aa C36:2,PC aa C36:2
sGF2,Sham,GF,153,PC aa C36:2,PC aa C36:2
sGF3,Sham,GF,195,PC aa C36:2,PC aa C36:2
sGF4,Sham,GF,142,PC aa C36:2,PC aa C36:2
sGF5,Sham,GF,180,PC aa C36:2,PC aa C36:2
sexGF1,Sham,COL,191,PC aa C36:2,PC aa C36:2
sexGF2,Sham,COL,188,PC aa C36:2,PC aa C36:2
sexGF3,Sham,COL,185,PC aa C36:2,PC aa C36:2
sexGF4,Sham,COL,173,PC aa C36:2,PC aa C36:2
sexGF5,Sham,COL,158,PC aa C36:2,PC aa C36:2
exGF06,AngII,COL,146,PC aa C36:3,NA
exGF07,AngII,COL,87.6,PC aa C36:3,NA
exGF09,AngII,COL,102,PC aa C36:3,NA
exGF10,AngII,COL,109,PC aa C36:3,NA
exGF11,AngII,COL,105,PC aa C36:3,NA
exGF12,AngII,COL,74.7,PC aa C36:3,NA
exGF13,AngII,COL,85.3,PC aa C36:3,NA
exGF14,AngII,COL,75.3,PC aa C36:3,NA
exGF16,AngII,COL,70.7,PC aa C36:3,NA
exGF17,AngII,COL,74.5,PC aa C36:3,NA
exGF18,AngII,COL,87.4,PC aa C36:3,NA
exGF19,AngII,COL,89.7,PC aa C36:3,NA
GF07,AngII,GF,124,PC aa C36:3,NA
GF08,AngII,GF,112,PC aa C36:3,NA
GF09,AngII,GF,67.3,PC aa C36:3,NA
GF10,AngII,GF,125,PC aa C36:3,NA
GF15,AngII,GF,71.1,PC aa C36:3,NA
GF16,AngII,GF,44.7,PC aa C36:3,NA
GF17,AngII,GF,88.6,PC aa C36:3,NA
GF19,AngII,GF,90.6,PC aa C36:3,NA
GF20,AngII,GF,80.3,PC aa C36:3,NA
GF21,AngII,GF,112,PC aa C36:3,NA
GF22,AngII,GF,93.2,PC aa C36:3,NA
sGF1,Sham,GF,47.4,PC aa C36:3,NA
sGF2,Sham,GF,46,PC aa C36:3,NA
sGF3,Sham,GF,58,PC aa C36:3,NA
sGF4,Sham,GF,46.7,PC aa C36:3,NA
sGF5,Sham,GF,52.8,PC aa C36:3,NA
sexGF1,Sham,COL,79.4,PC aa C36:3,NA
sexGF2,Sham,COL,73.6,PC aa C36:3,NA
sexGF3,Sham,COL,79.8,PC aa C36:3,NA
sexGF4,Sham,COL,75.5,PC aa C36:3,NA
sexGF5,Sham,COL,70.8,PC aa C36:3,NA
exGF06,AngII,COL,222,PC aa C36:4,PC aa C36:4
exGF07,AngII,COL,145,PC aa C36:4,PC aa C36:4
exGF09,AngII,COL,160,PC aa C36:4,PC aa C36:4
exGF10,AngII,COL,134,PC aa C36:4,PC aa C36:4
exGF11,AngII,COL,152,PC aa C36:4,PC aa C36:4
exGF12,AngII,COL,123,PC aa C36:4,PC aa C36:4
exGF13,AngII,COL,150,PC aa C36:4,PC aa C36:4
exGF14,AngII,COL,105,PC aa C36:4,PC aa C36:4
exGF16,AngII,COL,93.3,PC aa C36:4,PC aa C36:4
exGF17,AngII,COL,109,PC aa C36:4,PC aa C36:4
exGF18,AngII,COL,166,PC aa C36:4,PC aa C36:4
exGF19,AngII,COL,125,PC aa C36:4,PC aa C36:4
GF07,AngII,GF,142,PC aa C36:4,PC aa C36:4
GF08,AngII,GF,139,PC aa C36:4,PC aa C36:4
GF09,AngII,GF,96.5,PC aa C36:4,PC aa C36:4
GF10,AngII,GF,139,PC aa C36:4,PC aa C36:4
GF15,AngII,GF,93.7,PC aa C36:4,PC aa C36:4
GF16,AngII,GF,53.3,PC aa C36:4,PC aa C36:4
GF17,AngII,GF,127,PC aa C36:4,PC aa C36:4
GF19,AngII,GF,121,PC aa C36:4,PC aa C36:4
GF20,AngII,GF,117,PC aa C36:4,PC aa C36:4
GF21,AngII,GF,158,PC aa C36:4,PC aa C36:4
GF22,AngII,GF,139,PC aa C36:4,PC aa C36:4
sGF1,Sham,GF,65.8,PC aa C36:4,PC aa C36:4
sGF2,Sham,GF,68.8,PC aa C36:4,PC aa C36:4
sGF3,Sham,GF,90.8,PC aa C36:4,PC aa C36:4
sGF4,Sham,GF,66.7,PC aa C36:4,PC aa C36:4
sGF5,Sham,GF,83.9,PC aa C36:4,PC aa C36:4
sexGF1,Sham,COL,112,PC aa C36:4,PC aa C36:4
sexGF2,Sham,COL,105,PC aa C36:4,PC aa C36:4
sexGF3,Sham,COL,120,PC aa C36:4,PC aa C36:4
sexGF4,Sham,COL,109,PC aa C36:4,PC aa C36:4
sexGF5,Sham,COL,110,PC aa C36:4,PC aa C36:4
exGF06,AngII,COL,44.4,PC aa C38:3,NA
